V1,V2,V3
-0.2299240338040083,-0.4856898727571771,-0.2857601309458865
-0.34730880742677434,-0.4620853383704823,-0.24184984951265245
-0.3970384016381757,-0.5158106986527967,-0.2826767268039846
-0.5063511125806098,-0.4748600020091254,-0.30282204579723365
-0.6680603294752138,-0.44535978641756035,-0.2520617663171128
-0.2173181771653423,-0.27781326649669164,-0.34670259021977223
-0.053740942064782575,-0.45648345244935506,-0.2430959280766758
-0.1251749217086808,-0.6162898323438853,-0.25274598173209095
-0.11756491909224895,-0.6352778151789193,-0.2737189060472865
-0.09598046079947273,-0.6112018406629739,-0.34965662592846936
-0.16140689015712748,-0.4178649682593681,-0.176250219761237
-0.018837482792091808,-0.3810959261477082,-0.2531403427481121
-0.18863544176200323,-0.2116493639317041,-0.2842334701401787
-0.05928881095221659,-0.2059727444733882,-0.22445955048297792
-0.3809185653945122,-0.3630884573766296,-0.18839870132338576
